Crops,Crop,Crop Year,District Name,Season,Soil,State Name,Type Of  Watersource,Type Of Crop,Area,ARIYALUR,CAUVERY,CHENGLEPUT,COIMBATORE,Cropduration Max,Cropduration Min,CUDDALORE,DHARMAPURI,DINDIGUL,ERODE,HILLY REGIONS OF SHEVROY,JAWAD HILLS,KANCHEEPURAM,KANYAKUMARI,KARUR,KOLLI HILLS,KRISHNAGIRI,MADURAI,Max Temp,Min Temp,NAGAPATTINAM,NAMAKAL,PERAMBALUR,Production,PUDUKKOTTAI,RAMANATHANPURAM,Relative Humidity Max,Relative Humidity Min,SALEM,SIVAGANGAI,Soil Ph High,Soil Ph Low,TANJORE,THALAVADI HILLS,THE NILGRIS,THENI,THIRUCHIRAPALLI,THIRUNELVELI,THIRUPPUR,THIRUVALLUR,THIRUVANNAMALAI,THOOTHUKUDI,TIRUVARUR,VELLORE,VILLUPURAM,VIRUDHUNAGAR,Water Required Min,Waterrequired Max
sugarcane,Sugarcane,2000,TIRUCHIRAPPALLI,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,4964,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,555816,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sweet potato,Sweet potato,2000,TIRUCHIRAPPALLI,Whole Year,well-drained soil,Tamil Nadu,both,Root&tuber,77,1,1,1,1,120,90,1,1,1,1,1,1,1,1,1,1,1,1,26,21,1,1,1,933,1,1,90,85,1,1,6.7,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000
onion,Onion,2000,TIRUNELVELI,Whole Year, Any Loamy,Tamil Nadu,both,vegetables,1669,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,11412,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
sugarcane,Sugarcane,2000,TIRUNELVELI,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,3585,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,357812,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sweet potato,Sweet potato,2000,TIRUNELVELI,Whole Year,well-drained soil,Tamil Nadu,both,Root&tuber,4,1,1,1,1,120,90,1,1,1,1,1,1,1,1,1,1,1,1,26,21,1,1,1,48,1,1,90,85,1,1,6.7,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000
onion,Onion,2000,TIRUVANNAMALAI,Whole Year, Any Loamy,Tamil Nadu,both,vegetables,15,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,121,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
sugarcane,Sugarcane,2000,TIRUVANNAMALAI,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,24586,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,2248168,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sweet potato,Sweet potato,2000,TIRUVANNAMALAI,Whole Year,well-drained soil,Tamil Nadu,both,Root&tuber,69,1,1,1,1,120,90,1,1,1,1,1,1,1,1,1,1,1,1,26,21,1,1,1,836,1,1,90,85,1,1,6.7,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000
tobacco,Tobacco,2000,TIRUVANNAMALAI,Whole Year,Well drained sandy loam and clayey loam soils,Tamil Nadu,both,other crops,96,0,0,0,1,100,90,0,0,0,0,0,0,0,0,0,0,0,1,32,26,0,0,0,112,0,0,80,70,1,0,8.5,7.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,800,1000
onion,Onion,2000,TUTICORIN,Whole Year, Any Loamy,Tamil Nadu,both,vegetables,1425,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,6886,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
sugarcane,Sugarcane,2000,TUTICORIN,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,57,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,6100,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sweet potato,Sweet potato,2000,TUTICORIN,Whole Year,well-drained soil,Tamil Nadu,both,Root&tuber,15,1,1,1,1,120,90,1,1,1,1,1,1,1,1,1,1,1,1,26,21,1,1,1,182,1,1,90,85,1,1,6.7,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000
onion,Onion,2000,VELLORE,Whole Year, Any Loamy,Tamil Nadu,both,vegetables,17,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,137,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
sugarcane,Sugarcane,2000,VELLORE,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,26879,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,2342104,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
onion,Onion,2000,VILLUPURAM,Whole Year, Any Loamy,Tamil Nadu,both,vegetables,123,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,994,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
sugarcane,Sugarcane,2000,VILLUPURAM,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,40233,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,4380107,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sweet potato,Sweet potato,2000,VILLUPURAM,Whole Year,well-drained soil,Tamil Nadu,both,Root&tuber,287,1,1,1,1,120,90,1,1,1,1,1,1,1,1,1,1,1,1,26,21,1,1,1,2922,1,1,90,85,1,1,6.7,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000
onion,Onion,2000,VIRUDHUNAGAR,Whole Year, Any Loamy,Tamil Nadu,both,vegetables,851,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,5924,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
sugarcane,Sugarcane,2000,VIRUDHUNAGAR,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,3475,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,361441,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sweet potato,Sweet potato,2000,VIRUDHUNAGAR,Whole Year,well-drained soil,Tamil Nadu,both,Root&tuber,7,1,1,1,1,120,90,1,1,1,1,1,1,1,1,1,1,1,1,26,21,1,1,1,85,1,1,90,85,1,1,6.7,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000
sugarcane,Sugarcane,2001,DHARMAPURI,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,22942,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,1923400,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,DINDIGUL,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,7437,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,778600,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,ERODE,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,35875,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,5297300,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,KANCHIPURAM,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,6165,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,932200,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,KARUR,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,9629,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,805700,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,MADURAI,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,6043,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,636000,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,NAGAPATTINAM,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,3661,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,366800,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,NAMAKKAL,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,11574,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,1361300,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,PERAMBALUR,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,12673,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,799300,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,PUDUKKOTTAI,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,5811,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,582200,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,RAMANATHAPURAM,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,597,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,59800,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,SALEM,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,9455,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,812400,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,SIVAGANGA,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,5033,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,435900,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,THANJAVUR,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,11356,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,1086800,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,THE NILGIRIS,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,7,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,700,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,THENI,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,10790,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,1711000,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,THIRUVALLUR,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,6206,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,813200,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,THIRUVARUR,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,1738,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,174100,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,TIRUCHIRAPPALLI,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,4789,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,479800,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,TIRUNELVELI,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,3736,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,374300,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,TIRUVANNAMALAI,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,23586,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,1087100,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,TUTICORIN,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,113,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,11300,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,VELLORE,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,28682,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,1401600,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,VILLUPURAM,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,36886,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,4378300,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sugarcane,Sugarcane,2001,VIRUDHUNAGAR,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,3825,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,383200,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
ash gourd,Ash Gourd,2002,DHARMAPURI,Whole Year,Sandy loam,Tamil Nadu,both,vegetables,12,1,1,1,1,120,120,1,1,1,1,1,1,1,1,1,1,1,1,31,24,1,1,1,0,1,1,75,50,1,1,6.7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,900,1200
bitter gourd,Bitter Gourd,2002,DHARMAPURI,Whole Year,Well drained loamy soil,Tamil Nadu,both,vegetables,26,1,1,1,1,60,55,1,1,1,1,1,1,1,1,1,1,1,1,30,25,1,1,1,0,1,1,92,78,1,1,7,6.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,900,1200
bottle gourd,Bottle Gourd,2002,DHARMAPURI,Whole Year,Sandy loam,Tamil Nadu,both,vegetables,7,1,1,1,1,120,120,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,0,1,1,85,75,1,1,6.7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,900,1200
brinjal,Brinjal,2002,DHARMAPURI,Whole Year,Loamy soil/ Lateritic soil,Tamil Nadu,both,vegetables,590,1,1,1,1,150,100,1,1,1,1,1,1,1,1,1,1,1,1,30,18,1,1,1,4499,1,1,90,90,1,1,7.5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,900,1200
Cabbage,Cabbage,2002,DHARMAPURI,Whole Year,LoamySandy,Tamil Nadu,irrigated,colecrops,1113,1,1,1,1,180,80,1,1,1,1,1,1,1,1,1,1,1,1,27,7,1,1,1,58583,1,1,100,90,1,1,6.5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,380,500
carrot,Carrot,2002,DHARMAPURI,Whole Year,light or sandy loam soil,Tamil Nadu,irrigated,Root&tuber,115,1,1,1,1,75,75,1,1,1,1,1,1,1,1,1,1,1,1,20,15,1,1,1,0,1,1,70,60,1,1,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000
cauliflower,Cauliflower,2002,DHARMAPURI,Whole Year,LoamySandy,Tamil Nadu,both,colecrops,195,1,1,1,1,100,55,1,1,1,1,1,1,1,1,1,1,1,1,30,5,1,1,1,0,1,1,100,95,1,1,6.8,6.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,380,500
cucumber,Cucumber,2002,DHARMAPURI,Whole Year,Loamy,Tamil Nadu,irrigated,vegetables,145,1,1,1,1,120,120,1,1,1,1,1,1,1,1,1,1,1,1,35,25,1,1,1,0,1,1,70,60,1,1,7.5,6.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200,1500
onion,Onion,2002,DHARMAPURI,Whole Year, Any Loamy,Tamil Nadu,both,vegetables,352,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,2977,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
sugarcane,Sugarcane,2002,DHARMAPURI,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,16049,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,1114260,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sweet potato,Sweet potato,2002,DHARMAPURI,Whole Year,well-drained soil,Tamil Nadu,both,Root&tuber,27,1,1,1,1,120,90,1,1,1,1,1,1,1,1,1,1,1,1,26,21,1,1,1,369,1,1,90,85,1,1,6.7,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000
tobacco,Tobacco,2002,DHARMAPURI,Whole Year,Well drained sandy loam and clayey loam soils,Tamil Nadu,both,other crops,625,0,0,0,1,100,90,0,0,0,0,0,0,0,0,0,0,0,1,32,26,0,0,0,933,0,0,80,70,1,0,8.5,7.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,800,1000
tomato,Tomato,2002,DHARMAPURI,Whole Year,Sandy loam,Tamil Nadu,both,vegetables,5294,1,1,1,1,140,90,1,1,1,1,1,1,1,1,1,1,1,1,30,18,1,1,1,101955,1,1,85,75,1,1,7.5,6.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,600,800
bitter gourd,Bitter Gourd,2002,DINDIGUL,Whole Year,Well drained loamy soil,Tamil Nadu,both,vegetables,137,1,1,1,1,60,55,1,1,1,1,1,1,1,1,1,1,1,1,30,25,1,1,1,0,1,1,92,78,1,1,7,6.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,900,1200
bottle gourd,Bottle Gourd,2002,DINDIGUL,Whole Year,Sandy loam,Tamil Nadu,both,vegetables,9,1,1,1,1,120,120,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,0,1,1,85,75,1,1,6.7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,900,1200
brinjal,Brinjal,2002,DINDIGUL,Whole Year,Loamy soil/ Lateritic soil,Tamil Nadu,both,vegetables,641,1,1,1,1,150,100,1,1,1,1,1,1,1,1,1,1,1,1,30,18,1,1,1,3285,1,1,90,90,1,1,7.5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,900,1200
Cabbage,Cabbage,2002,DINDIGUL,Whole Year,LoamySandy,Tamil Nadu,irrigated,colecrops,24,1,1,1,1,180,80,1,1,1,1,1,1,1,1,1,1,1,1,27,7,1,1,1,1409,1,1,100,90,1,1,6.5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,380,500
carrot,Carrot,2002,DINDIGUL,Whole Year,light or sandy loam soil,Tamil Nadu,irrigated,Root&tuber,678,1,1,1,1,75,75,1,1,1,1,1,1,1,1,1,1,1,1,20,15,1,1,1,0,1,1,70,60,1,1,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000
cauliflower,Cauliflower,2002,DINDIGUL,Whole Year,LoamySandy,Tamil Nadu,both,colecrops,179,1,1,1,1,100,55,1,1,1,1,1,1,1,1,1,1,1,1,30,5,1,1,1,0,1,1,100,95,1,1,6.8,6.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,380,500
cucumber,Cucumber,2002,DINDIGUL,Whole Year,Loamy,Tamil Nadu,irrigated,vegetables,43,1,1,1,1,120,120,1,1,1,1,1,1,1,1,1,1,1,1,35,25,1,1,1,0,1,1,70,60,1,1,7.5,6.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200,1500
onion,Onion,2002,DINDIGUL,Whole Year, Any Loamy,Tamil Nadu,both,vegetables,2367,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,18892,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
sugarcane,Sugarcane,2002,DINDIGUL,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,5770,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,468450,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sweet potato,Sweet potato,2002,DINDIGUL,Whole Year,well-drained soil,Tamil Nadu,both,Root&tuber,64,1,1,1,1,120,90,1,1,1,1,1,1,1,1,1,1,1,1,26,21,1,1,1,874,1,1,90,85,1,1,6.7,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000
tobacco,Tobacco,2002,DINDIGUL,Whole Year,Well drained sandy loam and clayey loam soils,Tamil Nadu,both,other crops,1853,0,0,0,1,100,90,0,0,0,0,0,0,0,0,0,0,0,1,32,26,0,0,0,2711,0,0,80,70,1,0,8.5,7.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,800,1000
tomato,Tomato,2002,DINDIGUL,Whole Year,Sandy loam,Tamil Nadu,both,vegetables,1781,1,1,1,1,140,90,1,1,1,1,1,1,1,1,1,1,1,1,30,18,1,1,1,7609,1,1,85,75,1,1,7.5,6.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,600,800
Turnip,Turnip,2002,DINDIGUL,Whole Year,Loamy soil,Tamil Nadu,both,minor vegetables,1,1,1,1,1,56,42,1,1,1,1,1,1,1,1,1,1,1,1,16,10,1,1,1,0,1,1,100,90,1,1,6.8,5.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,900,1200
ash gourd,Ash Gourd,2002,ERODE,Whole Year,Sandy loam,Tamil Nadu,both,vegetables,11,1,1,1,1,120,120,1,1,1,1,1,1,1,1,1,1,1,1,31,24,1,1,1,0,1,1,75,50,1,1,6.7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,900,1200
bitter gourd,Bitter Gourd,2002,ERODE,Whole Year,Well drained loamy soil,Tamil Nadu,both,vegetables,3,1,1,1,1,60,55,1,1,1,1,1,1,1,1,1,1,1,1,30,25,1,1,1,0,1,1,92,78,1,1,7,6.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,900,1200
bottle gourd,Bottle Gourd,2002,ERODE,Whole Year,Sandy loam,Tamil Nadu,both,vegetables,3,1,1,1,1,120,120,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,0,1,1,85,75,1,1,6.7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,900,1200
brinjal,Brinjal,2002,ERODE,Whole Year,Loamy soil/ Lateritic soil,Tamil Nadu,both,vegetables,293,1,1,1,1,150,100,1,1,1,1,1,1,1,1,1,1,1,1,30,18,1,1,1,2234,1,1,90,90,1,1,7.5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,900,1200
Cabbage,Cabbage,2002,ERODE,Whole Year,LoamySandy,Tamil Nadu,irrigated,colecrops,22,1,1,1,1,180,80,1,1,1,1,1,1,1,1,1,1,1,1,27,7,1,1,1,1291,1,1,100,90,1,1,6.5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,380,500
